Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
9/28/1974,1,Rock Me Gently,Andy Kim,2.0,1,15
9/28/1968,1,Hey Jude,The Beatles,3.0,1,3
9/28/1963,1,Blue Velvet,Bobby Vinton,1.0,1,8
9/28/1959,1,Sleep Walk,Santo & Johnny,1.0,1,10
9/27/2014,1,All About That Bass,Meghan Trainor,1.0,1,10
9/27/2008,1,So What,P!nk,2.0,1,4
9/27/2003,1,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1.0,1,14
9/27/1997,1,Honey,Mariah Carey,1.0,1,3
9/27/1986,1,Stuck With You,Huey Lewis & The News,1.0,1,9
9/27/1980,1,Upside Down,Diana Ross,1.0,1,12
9/27/1975,1,I'm Sorry,John Denver,4.0,1,7
9/27/1969,1,"Sugar, Sugar",The Archies,1.0,1,10
9/26/2020,1,WAP,Cardi B Featuring Megan Thee Stallion,1.0,1,6
9/26/2015,1,Can't Feel My Face,The Weeknd,2.0,1,14
9/26/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,14
9/26/1998,1,I Don't Want To Miss A Thing,Aerosmith,1.0,1,4
9/26/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1.0,1,11
9/26/1987,1,Didn't We Almost Have It All,Whitney Houston,2.0,1,9
9/26/1981,1,Endless Love,Diana Ross & Lionel Richie,1.0,1,12
9/26/1970,1,Ain't No Mountain High Enough,Diana Ross,1.0,1,8
9/26/1964,1,"Oh, Pretty Woman",Roy Orbison And The Candy Men,4.0,1,5
9/26/1960,1,My Heart Has A Mind Of Its Own,Connie Francis,2.0,1,7
9/25/2021,1,Stay,The Kid LAROI & Justin Bieber,6.0,1,10
9/25/2010,1,Teenage Dream,Katy Perry,1.0,1,8
9/25/2004,1,Goodies,Ciara Featuring Petey Pablo,1.0,1,14
9/25/1999,1,Unpretty,TLC,1.0,1,14
9/25/1993,1,Dreamlover,Mariah Carey,1.0,1,8
9/25/1982,1,Abracadabra,The Steve Miller Band,2.0,1,18
9/25/1976,1,Play That Funky Music,Wild Cherry,1.0,1,15
9/25/1971,1,Go Away Little Girl,Donny Osmond,1.0,1,8
9/25/1965,1,Eve Of Destruction,Barry McGuire,2.0,1,6
9/25/1961,1,Take Good Care Of My Baby,Bobby Vee,1.0,1,8
9/24/2016,1,Closer,The Chainsmokers Featuring Halsey,1.0,1,6
9/24/2011,1,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2.0,1,12
9/24/2005,1,Gold Digger,Kanye West Featuring Jamie Foxx,1.0,1,9
9/24/1994,1,I'll Make Love To You,Boyz II Men,1.0,1,7
9/24/1988,1,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,4.0,1,9
9/24/1983,1,Tell Her About It,Billy Joel,2.0,1,9
9/24/1977,1,Best Of My Love,The Emotions,3.0,1,16
9/24/1966,1,Cherish,The Association,4.0,1,5
9/23/2017,1,Look What You Made Me Do,Taylor Swift,1.0,1,3
9/23/2006,1,SexyBack,Justin Timberlake,1.0,1,10
9/23/2000,1,Music,Madonna,1.0,1,7
9/23/1995,1,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1.0,1,6
9/23/1989,1,Girl I'm Gonna Miss You,Milli Vanilli,2.0,1,8
9/23/1978,1,Boogie Oogie Oogie,A Taste Of Honey,1.0,1,14
9/23/1972,1,Baby Don't Get Hooked On Me,Mac Davis,2.0,1,13
9/23/1967,1,The Letter,The Box Tops,4.0,1,7
9/22/2018,1,In My Feelings,Drake,1.0,1,11
9/22/2012,1,We Are Never Ever Getting Back Together,Taylor Swift,2.0,1,5
9/22/2007,1,Crank That (Soulja Boy),Soulja Boy Tell'em,1.0,1,9
