Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
8/27/2016,1,Cheap Thrills,Sia Featuring Sean Paul,1.0,1,26
8/27/2011,1,Last Friday Night (T.G.I.F.),Katy Perry,2.0,1,12
8/27/2005,1,We Belong Together,Mariah Carey,1.0,1,20
8/27/1994,1,I'll Make Love To You,Boyz II Men,2.0,1,3
8/27/1988,1,Monkey,George Michael,2.0,1,8
8/27/1983,1,Every Breath You Take,The Police,1.0,1,13
8/27/1977,1,Best Of My Love,The Emotions,1.0,1,12
8/27/1966,1,Summer In The City,The Lovin' Spoonful,1.0,1,7
8/26/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,30
8/26/2006,1,London Bridge,Fergie,1.0,1,4
8/26/2000,1,Doesn't Really Matter,Janet,5.0,1,11
8/26/1995,1,Kiss From A Rose,Seal,2.0,1,10
8/26/1989,1,Right Here Waiting,Richard Marx,1.0,1,8
8/26/1978,1,Grease,Frankie Valli,2.0,1,14
8/26/1972,1,Brandy (You're A Fine Girl),Looking Glass,2.0,1,11
8/26/1967,1,Ode To Billie Joe,Bobbie Gentry,7.0,1,4
8/25/2018,1,In My Feelings,Drake,1.0,1,7
8/25/2012,1,Whistle,Flo Rida,3.0,1,13
8/25/2007,1,Beautiful Girls,Sean Kingston,1.0,1,12
8/25/2001,1,Fallin',Alicia Keys,1.0,1,11
8/25/1990,1,Vision Of Love,Mariah Carey,1.0,1,13
8/25/1984,1,Ghostbusters,Ray Parker Jr.,1.0,1,11
8/25/1979,1,My Sharona,The Knack,2.0,1,10
8/25/1973,1,Brother Louie,Stories,3.0,1,10
8/25/1962,1,The Loco-Motion,Little Eva,2.0,1,9
8/25/1958,1,Little Star,The Elegants,2.0,1,4
8/24/2019,1,Bad Guy,Billie Eilish,2.0,1,20
8/24/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,17
8/24/2002,1,Dilemma,Nelly Featuring Kelly Rowland,1.0,1,7
8/24/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,36
8/24/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1.0,1,9
8/24/1985,1,The Power Of Love,Huey Lewis & The News,2.0,1,9
8/24/1974,1,(You're) Having My Baby,Paul Anka with Odia Coates,3.0,1,8
8/24/1968,1,People Got To Be Free,The Rascals,1.0,1,6
8/24/1963,1,Fingertips - Pt 2,Little Stevie Wonder,1.0,1,10
8/24/1959,1,The Three Bells,The Browns,7.0,1,5
8/23/2014,1,Rude,MAGIC!,1.0,1,16
8/23/2008,1,Disturbia,Rihanna,3.0,1,8
8/23/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,14
8/23/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,11
8/23/1986,1,Papa Don't Preach,Madonna,1.0,1,9
8/23/1980,1,Magic,Olivia Newton-John,1.0,1,14
8/23/1975,1,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",5.0,1,10
8/23/1969,1,Honky Tonk Women,The Rolling Stones,2.0,1,6
8/22/2020,1,WAP,Cardi B Featuring Megan Thee Stallion,,1,1
8/22/2015,1,Can't Feel My Face,The Weeknd,2.0,1,9
8/22/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,9
8/22/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,13
8/22/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1.0,1,6
8/22/1987,1,Who's That Girl,Madonna,2.0,1,7
8/22/1981,1,Endless Love,Diana Ross & Lionel Richie,1.0,1,7
8/22/1970,1,Make It With You,Bread,2.0,1,11
8/22/1964,1,Where Did Our Love Go,The Supremes,2.0,1,7
8/22/1960,1,It's Now Or Never,Elvis Presley With The Jordanaires,1.0,1,6
8/21/2021,1,Stay,The Kid LAROI & Justin Bieber,1.0,1,5
8/21/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,1.0,1,7
8/21/2004,1,Lean Back,Terror Squad,2.0,1,9
8/21/1999,1,Genie In A Bottle,Christina Aguilera,1.0,1,8
8/21/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1.0,1,15
8/21/1982,1,Eye Of The Tiger,Survivor,1.0,1,12
8/21/1976,1,Don't Go Breaking My Heart,Elton John & Kiki Dee,1.0,1,8
8/21/1971,1,How Can You Mend A Broken Heart,Bee Gees,1.0,1,9
8/21/1965,1,I Got You Babe,Sonny & Cher,1.0,1,7
8/21/1961,1,Tossin' And Turnin',Bobby Lewis,1.0,1,18
8/20/2016,1,Cheap Thrills,Sia Featuring Sean Paul,1.0,1,25
8/20/2011,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1.0,1,20
8/20/2005,1,We Belong Together,Mariah Carey,1.0,1,19
8/20/1994,1,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1.0,1,16
8/20/1988,1,Roll With It,Steve Winwood,1.0,1,11
8/20/1983,1,Every Breath You Take,The Police,1.0,1,12
8/20/1977,1,Best Of My Love,The Emotions,3.0,1,11
8/20/1966,1,Summer In The City,The Lovin' Spoonful,1.0,1,6
8/2/2014,1,Rude,MAGIC!,1.0,1,13
8/2/2008,1,I Kissed A Girl,Katy Perry,1.0,1,11
8/2/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,11
8/2/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,8
8/2/1986,1,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,5.0,1,9
8/2/1980,1,Magic,Olivia Newton-John,2.0,1,11
8/2/1975,1,One Of These Nights,Eagles,3.0,1,10
8/2/1969,1,In The Year 2525,Zager & Evans,1.0,1,7
8/19/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,29
8/19/2006,1,London Bridge,Fergie,5.0,1,3
8/19/2000,1,Incomplete,Sisqo,1.0,1,9
8/19/1995,1,Waterfalls,TLC,1.0,1,11
8/19/1989,1,Right Here Waiting,Richard Marx,1.0,1,7
8/19/1978,1,Three Times A Lady,Commodores,1.0,1,10
8/19/1972,1,Alone Again (Naturally),Gilbert O'Sullivan,1.0,1,10
8/19/1967,1,All You Need Is Love,The Beatles,2.0,1,5
8/18/2018,1,In My Feelings,Drake,1.0,1,6
8/18/2012,1,Call Me Maybe,Carly Rae Jepsen,1.0,1,24
8/18/2007,1,Beautiful Girls,Sean Kingston,1.0,1,11
8/18/2001,1,Fallin',Alicia Keys,7.0,1,10
8/18/1990,1,Vision Of Love,Mariah Carey,1.0,1,12
8/18/1984,1,Ghostbusters,Ray Parker Jr.,1.0,1,10
8/18/1979,1,Good Times,Chic,2.0,1,10
8/18/1973,1,Touch Me In The Morning,Diana Ross,4.0,1,12
8/18/1962,1,Breaking Up Is Hard To Do,Neil Sedaka,1.0,1,8
8/18/1958,1,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,2.0,1,3
8/17/2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1.0,1,23
8/17/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,16
8/17/2002,1,Dilemma,Nelly Featuring Kelly Rowland,2.0,1,6
8/17/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,35
8/17/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1.0,1,8
8/17/1985,1,Shout,Tears For Fears,1.0,1,10
8/17/1974,1,The Night Chicago Died,Paper Lace,2.0,1,10
8/17/1968,1,People Got To Be Free,The Rascals,5.0,1,5
8/17/1963,1,Fingertips - Pt 2,Little Stevie Wonder,1.0,1,9
8/17/1959,1,A Big Hunk O' Love,Elvis Presley With The Jordanaires,1.0,1,7
8/16/2014,1,Rude,MAGIC!,1.0,1,15
8/16/2008,1,I Kissed A Girl,Katy Perry,1.0,1,13
8/16/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,13
8/16/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,10
8/16/1986,1,Papa Don't Preach,Madonna,2.0,1,8
8/16/1980,1,Magic,Olivia Newton-John,1.0,1,13
8/16/1975,1,Jive Talkin',Bee Gees,1.0,1,12
8/16/1969,1,In The Year 2525,Zager & Evans,1.0,1,9
8/15/2020,1,Watermelon Sugar,Harry Styles,7.0,1,20
8/15/2015,1,Cheerleader,OMI,1.0,1,15
8/15/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,8
8/15/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,12
8/15/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,4.0,1,5
8/15/1987,1,I Still Haven't Found What I'm Looking For,U2,1.0,1,10
8/15/1981,1,Endless Love,Diana Ross & Lionel Richie,2.0,1,6
8/15/1970,1,(They Long To Be) Close To You,Carpenters,1.0,1,9
8/15/1964,1,Everybody Loves Somebody,Dean Martin,2.0,1,8
8/15/1960,1,It's Now Or Never,Elvis Presley With The Jordanaires,3.0,1,5
8/14/2021,1,Stay,The Kid LAROI & Justin Bieber,4.0,1,4
8/14/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,1.0,1,6
8/14/2004,1,Slow Motion,Juvenile Featuring Soulja Slim,1.0,1,16
8/14/1999,1,Genie In A Bottle,Christina Aguilera,1.0,1,7
8/14/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1.0,1,14
8/14/1982,1,Eye Of The Tiger,Survivor,1.0,1,11
8/14/1976,1,Don't Go Breaking My Heart,Elton John & Kiki Dee,1.0,1,7
8/14/1971,1,How Can You Mend A Broken Heart,Bee Gees,1.0,1,8
8/14/1965,1,I Got You Babe,Sonny & Cher,5.0,1,6
8/14/1961,1,Tossin' And Turnin',Bobby Lewis,1.0,1,17
8/13/2016,1,Cheap Thrills,Sia Featuring Sean Paul,1.0,1,24
8/13/2011,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1.0,1,19
8/13/2005,1,We Belong Together,Mariah Carey,1.0,1,18
8/13/1994,1,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1.0,1,15
8/13/1988,1,Roll With It,Steve Winwood,1.0,1,10
8/13/1983,1,Every Breath You Take,The Police,1.0,1,11
8/13/1977,1,I Just Want To Be Your Everything,Andy Gibb,1.0,1,17
8/13/1966,1,Summer In The City,The Lovin' Spoonful,3.0,1,5
8/12/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,28
8/12/2006,1,Promiscuous,Nelly Furtado Featuring Timbaland,1.0,1,13
8/12/2000,1,Incomplete,Sisqo,2.0,1,8
8/12/1995,1,Waterfalls,TLC,1.0,1,10
8/12/1989,1,Right Here Waiting,Richard Marx,4.0,1,6
8/12/1978,1,Three Times A Lady,Commodores,2.0,1,9
8/12/1972,1,Alone Again (Naturally),Gilbert O'Sullivan,1.0,1,9
8/12/1967,1,Light My Fire,The Doors,1.0,1,11
8/11/2018,1,In My Feelings,Drake,1.0,1,5
8/11/2012,1,Call Me Maybe,Carly Rae Jepsen,1.0,1,23
8/11/2007,1,Beautiful Girls,Sean Kingston,23.0,1,10
8/11/2001,1,Bootylicious,Destiny's Child,1.0,1,10
8/11/1990,1,Vision Of Love,Mariah Carey,1.0,1,11
8/11/1984,1,Ghostbusters,Ray Parker Jr.,2.0,1,9
8/11/1979,1,Bad Girls,Donna Summer,1.0,1,12
8/11/1973,1,The Morning After,Maureen McGovern,1.0,1,8
8/11/1962,1,Breaking Up Is Hard To Do,Neil Sedaka,2.0,1,7
8/11/1958,1,Poor Little Fool,Ricky Nelson,1.0,1,2
8/10/2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1.0,1,22
8/10/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,15
8/10/2002,1,Hot In Herre,Nelly,1.0,1,15
8/10/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,34
8/10/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1.0,1,7
8/10/1985,1,Shout,Tears For Fears,1.0,1,9
8/10/1974,1,Feel Like Makin' Love,Roberta Flack,3.0,1,8
8/10/1968,1,"Hello, I Love You",The Doors,1.0,1,6
8/10/1963,1,Fingertips - Pt 2,Little Stevie Wonder,2.0,1,8
8/10/1959,1,A Big Hunk O' Love,Elvis Presley With The Jordanaires,2.0,1,6
8/1/2020,1,Rockstar,DaBaby Featuring Roddy Ricch,1.0,1,14
8/1/2015,1,Cheerleader,OMI,1.0,1,13
8/1/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,6
8/1/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,10
8/1/1992,1,Baby Got Back,Sir Mix-A-Lot,1.0,1,17
8/1/1987,1,"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,2.0,1,11
8/1/1981,1,Jessie's Girl,Rick Springfield,3.0,1,19
8/1/1970,1,(They Long To Be) Close To You,Carpenters,1.0,1,7
8/1/1964,1,A Hard Day's Night,The Beatles,2.0,1,3
8/1/1960,1,I'm Sorry,Brenda Lee,1.0,1,10
7/9/2016,1,One Dance,Drake Featuring WizKid & Kyla,1.0,1,12
7/9/2011,1,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,1,13
7/9/2005,1,We Belong Together,Mariah Carey,2.0,1,13
7/9/1994,1,I Swear,All-4-One,1.0,1,12
7/9/1988,1,The Flame,Cheap Trick,3.0,1,14
7/9/1983,1,Every Breath You Take,The Police,3.0,1,6
7/9/1977,1,Undercover Angel,Alan O'Day,2.0,1,15
7/9/1966,1,Paperback Writer,The Beatles,2.0,1,5
7/8/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,23
7/8/2006,1,Promiscuous,Nelly Furtado Featuring Timbaland,3.0,1,8
7/8/2000,1,Be With You,Enrique Iglesias,1.0,1,15
7/8/1995,1,Waterfalls,TLC,7.0,1,5
7/8/1989,1,Good Thing,Fine Young Cannibals,2.0,1,10
7/8/1978,1,Shadow Dancing,Andy Gibb,1.0,1,13
7/8/1972,1,Lean On Me,Bill Withers,4.0,1,12
7/8/1967,1,Windy,The Association,1.0,1,7
7/7/2018,1,I Like It,"Cardi B, Bad Bunny & J Balvin",2.0,1,12
7/7/2012,1,Call Me Maybe,Carly Rae Jepsen,1.0,1,18
7/7/2007,1,Umbrella,Rihanna Featuring Jay-Z,1.0,1,11
7/7/2001,1,U Remind Me,Usher,21.0,1,4
7/7/1990,1,Step By Step,New Kids On The Block,1.0,1,7
7/7/1984,1,When Doves Cry,Prince,3.0,1,6
7/7/1979,1,Ring My Bell,Anita Ward,1.0,1,9
7/7/1973,1,Will It Go Round In Circles,Billy Preston,3.0,1,15
7/7/1962,1,The Stripper,David Rose and His Orchestra,2.0,1,9
7/6/2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1.0,1,17
7/6/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,10
7/6/2002,1,Hot In Herre,Nelly,1.0,1,10
7/6/1996,1,Tha Crossroads,Bone Thugs-N-Harmony,1.0,1,9
7/6/1991,1,Rush Rush,Paula Abdul,1.0,1,9
7/6/1985,1,Sussudio,Phil Collins,2.0,1,9
7/6/1974,1,Rock The Boat,The Hues Corporation,6.0,1,7
7/6/1968,1,This Guy's In Love With You,Herb Alpert,1.0,1,8
7/6/1963,1,Easier Said Than Done,The Essex,5.0,1,5
7/6/1959,1,The Battle Of New Orleans,Johnny Horton,1.0,1,11
7/5/2014,1,Fancy,Iggy Azalea Featuring Charli XCX,1.0,1,16
7/5/2008,1,I Kissed A Girl,Katy Perry,2.0,1,7
7/5/2003,1,This Is The Night,Clay Aiken,1.0,1,2
7/5/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,4
7/5/1986,1,There'll Be Sad Songs (To Make You Cry),Billy Ocean,2.0,1,12
7/5/1980,1,Coming Up (Live At Glasgow),Paul McCartney And Wings,1.0,1,11
7/5/1975,1,Love Will Keep Us Together,The Captain & Tennille,1.0,1,12
7/5/1969,1,Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,1.0,1,9
7/4/2020,1,Rockstar,DaBaby Featuring Roddy Ricch,2.0,1,10
7/4/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1.0,1,15
7/4/2009,1,Boom Boom Pow,The Black Eyed Peas,1.0,1,15
7/4/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,6
7/4/1992,1,Baby Got Back,Sir Mix-A-Lot,2.0,1,13
7/4/1987,1,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1.0,1,8
7/4/1981,1,Bette Davis Eyes,Kim Carnes,1.0,1,15
7/4/1976,1,Silly Love Songs,Wings,1.0,1,13
7/4/1970,1,The Love You Save/I Found That Girl,Jackson 5,1.0,1,6
7/4/1964,1,I Get Around,The Beach Boys,2.0,1,7
7/4/1960,1,Everybody's Somebody's Fool,Connie Francis,1.0,1,9
7/31/2021,1,Butter,BTS,7.0,1,9
7/31/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,2.0,1,4
7/31/2004,1,Confessions Part II,Usher,1.0,1,14
7/31/1999,1,Genie In A Bottle,Christina Aguilera,3.0,1,5
7/31/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1.0,1,12
7/31/1982,1,Eye Of The Tiger,Survivor,1.0,1,9
7/31/1976,1,Kiss And Say Goodbye,The Manhattans,1.0,1,16
7/31/1971,1,You've Got A Friend,James Taylor,3.0,1,9
7/31/1965,1,(I Can't Get No) Satisfaction,The Rolling Stones,1.0,1,8
7/31/1961,1,Tossin' And Turnin',Bobby Lewis,1.0,1,15
7/30/2016,1,One Dance,Drake Featuring WizKid & Kyla,1.0,1,15
7/30/2011,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1.0,1,17
7/30/2005,1,We Belong Together,Mariah Carey,1.0,1,16
7/30/1994,1,I Swear,All-4-One,1.0,1,15
7/30/1988,1,Roll With It,Steve Winwood,4.0,1,8
7/30/1983,1,Every Breath You Take,The Police,1.0,1,9
7/30/1977,1,I Just Want To Be Your Everything,Andy Gibb,2.0,1,15
7/30/1966,1,Wild Thing,The Troggs,2.0,1,6
7/3/2021,1,Butter,BTS,1.0,1,5
7/3/2010,1,California Gurls,Katy Perry Featuring Snoop Dogg,1.0,1,6
7/3/2004,1,Burn,Usher,1.0,1,17
7/3/1999,1,If You Had My Love,Jennifer Lopez,1.0,1,8
7/3/1993,1,That's The Way Love Goes,Janet Jackson,1.0,1,10
7/3/1982,1,Don't You Want Me,The Human League,2.0,1,18
7/3/1971,1,It's Too Late/I Feel The Earth Move,Carole King,1.0,1,9
7/3/1965,1,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,2.0,1,8
7/3/1961,1,Quarter To Three,U.S. Bonds,1.0,1,7
7/29/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,26
7/29/2006,1,Promiscuous,Nelly Furtado Featuring Timbaland,1.0,1,11
7/29/2000,1,It's Gonna Be Me,N Sync,4.0,1,13
7/29/1995,1,Waterfalls,TLC,1.0,1,8
7/29/1989,1,Toy Soldiers,Martika,1.0,1,11
7/29/1978,1,Shadow Dancing,Andy Gibb,1.0,1,16
7/29/1972,1,Alone Again (Naturally),Gilbert O'Sullivan,3.0,1,7
7/29/1967,1,Light My Fire,The Doors,3.0,1,9
7/28/2018,1,In My Feelings,Drake,1.0,1,3
7/28/2012,1,Call Me Maybe,Carly Rae Jepsen,1.0,1,21
7/28/2007,1,Hey There Delilah,Plain White T's,2.0,1,16
7/28/2001,1,U Remind Me,Usher,1.0,1,7
7/28/1990,1,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,1.0,1,11
7/28/1984,1,When Doves Cry,Prince,1.0,1,9
7/28/1979,1,Bad Girls,Donna Summer,1.0,1,10
7/28/1973,1,"Bad, Bad Leroy Brown",Jim Croce,1.0,1,15
7/28/1962,1,Roses Are Red (My Love),Bobby Vinton,1.0,1,8
7/27/2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1.0,1,20
7/27/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,13
7/27/2002,1,Hot In Herre,Nelly,1.0,1,13
7/27/1996,1,You're Makin' Me High/Let It Flow,Toni Braxton,2.0,1,8
7/27/1991,1,(Everything I Do) I Do It For You,Bryan Adams,4.0,1,5
7/27/1985,1,Everytime You Go Away,Paul Young,3.0,1,12
7/27/1974,1,ANNIE's SONG,John Denver,2.0,1,9
7/27/1968,1,Grazing In The Grass,Hugh Masekela,1.0,1,8
7/27/1963,1,Surf City,Jan & Dean,1.0,1,7
7/27/1959,1,Lonely Boy,Paul Anka,1.0,1,9
7/26/2014,1,Rude,MAGIC!,2.0,1,12
7/26/2008,1,I Kissed A Girl,Katy Perry,1.0,1,10
7/26/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,10
7/26/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,7
7/26/1986,1,Sledgehammer,Peter Gabriel,2.0,1,12
7/26/1980,1,It's Still Rock And Roll To Me,Billy Joel,1.0,1,10
7/26/1975,1,The Hustle,Van McCoy & The Soul City Symphony,2.0,1,15
7/26/1969,1,In The Year 2525,Zager & Evans,1.0,1,6
7/25/2020,1,Rockstar,DaBaby Featuring Roddy Ricch,1.0,1,13
7/25/2015,1,Cheerleader,OMI,2.0,1,12
7/25/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,5
7/25/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,9
7/25/1992,1,Baby Got Back,Sir Mix-A-Lot,1.0,1,16
7/25/1987,1,Alone,Heart,1.0,1,11
7/25/1981,1,The One That You Love,Air Supply,3.0,1,11
7/25/1970,1,(They Long To Be) Close To You,Carpenters,3.0,1,6
7/25/1964,1,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1.0,1,6
7/25/1960,1,I'm Sorry,Brenda Lee,1.0,1,9
7/24/2021,1,Permission To Dance,BTS,,1,1
7/24/2010,1,California Gurls,Katy Perry Featuring Snoop Dogg,1.0,1,9
7/24/2004,1,Confessions Part II,Usher,2.0,1,13
7/24/1999,1,Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,8.0,1,10
7/24/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,2.0,1,11
7/24/1982,1,Eye Of The Tiger,Survivor,4.0,1,8
7/24/1976,1,Kiss And Say Goodbye,The Manhattans,2.0,1,15
7/24/1971,1,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,2.0,1,16
7/24/1965,1,(I Can't Get No) Satisfaction,The Rolling Stones,1.0,1,7
7/24/1961,1,Tossin' And Turnin',Bobby Lewis,1.0,1,14
7/23/2016,1,One Dance,Drake Featuring WizKid & Kyla,1.0,1,14
7/23/2011,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1.0,1,16
7/23/2005,1,We Belong Together,Mariah Carey,1.0,1,15
7/23/1994,1,I Swear,All-4-One,1.0,1,14
7/23/1988,1,Hold On To The Nights,Richard Marx,5.0,1,10
7/23/1983,1,Every Breath You Take,The Police,1.0,1,8
7/23/1977,1,Looks Like We Made It,Barry Manilow,2.0,1,12
7/23/1966,1,Hanky Panky,Tommy James And The Shondells,1.0,1,8
7/22/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,25
7/22/2006,1,Promiscuous,Nelly Furtado Featuring Timbaland,1.0,1,10
7/22/2000,1,Bent,matchbox twenty,6.0,1,13
7/22/1995,1,Waterfalls,TLC,1.0,1,7
7/22/1989,1,Toy Soldiers,Martika,4.0,1,10
7/22/1978,1,Shadow Dancing,Andy Gibb,1.0,1,15
7/22/1972,1,Lean On Me,Bill Withers,1.0,1,14
7/22/1967,1,Windy,The Association,1.0,1,9
7/21/2018,1,In My Feelings,Drake,6.0,1,2
7/21/2012,1,Call Me Maybe,Carly Rae Jepsen,1.0,1,20
7/21/2007,1,Umbrella,Rihanna Featuring Jay-Z,1.0,1,13
7/21/2001,1,U Remind Me,Usher,1.0,1,6
7/21/1990,1,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,2.0,1,10
7/21/1984,1,When Doves Cry,Prince,1.0,1,8
7/21/1979,1,Bad Girls,Donna Summer,1.0,1,9
7/21/1973,1,"Bad, Bad Leroy Brown",Jim Croce,3.0,1,14
7/21/1962,1,Roses Are Red (My Love),Bobby Vinton,1.0,1,7
7/20/2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1.0,1,19
7/20/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,12
7/20/2002,1,Hot In Herre,Nelly,1.0,1,12
7/20/1996,1,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,1.0,1,6
7/20/1991,1,Unbelievable,EMF,2.0,1,15
7/20/1985,1,A View To A Kill,Duran Duran,1.0,1,10
7/20/1974,1,Rock Your Baby,George McCrae,1.0,1,8
7/20/1968,1,Grazing In The Grass,Hugh Masekela,5.0,1,7
7/20/1963,1,Surf City,Jan & Dean,2.0,1,6
7/20/1959,1,Lonely Boy,Paul Anka,1.0,1,8
7/2/2016,1,One Dance,Drake Featuring WizKid & Kyla,1.0,1,11
7/2/2011,1,Rolling In The Deep,Adele,1.0,1,24
7/2/2005,1,Inside Your Heaven,Carrie Underwood,,1,1
7/2/1994,1,I Swear,All-4-One,1.0,1,11
7/2/1988,1,Dirty Diana,Michael Jackson,2.0,1,9
7/2/1983,1,Flashdance...What A Feeling,Irene Cara,1.0,1,14
7/2/1977,1,Gonna Fly Now,Bill Conti,2.0,1,11
7/2/1966,1,Strangers In The Night,Frank Sinatra,2.0,1,9
7/19/2014,1,Fancy,Iggy Azalea Featuring Charli XCX,1.0,1,18
7/19/2008,1,I Kissed A Girl,Katy Perry,1.0,1,9
7/19/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,9
7/19/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,6
7/19/1986,1,Invisible Touch,Genesis,2.0,1,8
7/19/1980,1,It's Still Rock And Roll To Me,Billy Joel,2.0,1,9
7/19/1975,1,Listen To What The Man Said,Wings,3.0,1,8
7/19/1969,1,In The Year 2525,Zager & Evans,1.0,1,5
7/18/2020,1,Rockstar,DaBaby Featuring Roddy Ricch,1.0,1,12
7/18/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1.0,1,17
7/18/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,4
7/18/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,8
7/18/1992,1,Baby Got Back,Sir Mix-A-Lot,1.0,1,15
7/18/1987,1,Alone,Heart,1.0,1,10
7/18/1981,1,Bette Davis Eyes,Kim Carnes,1.0,1,17
7/18/1970,1,Mama Told Me (Not To Come),Three Dog Night,1.0,1,9
7/18/1964,1,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",3.0,1,5
7/18/1960,1,I'm Sorry,Brenda Lee,2.0,1,8
7/17/2021,1,Butter,BTS,1.0,1,7
7/17/2010,1,California Gurls,Katy Perry Featuring Snoop Dogg,1.0,1,8
7/17/2004,1,Burn,Usher,2.0,1,19
7/17/1999,1,"Bills, Bills, Bills",Destiny's Child,2.0,1,5
7/17/1993,1,Weak,SWV,1.0,1,13
7/17/1982,1,Don't You Want Me,The Human League,1.0,1,20
